product_name,subsystem,vendor,price,currency,date_checked,URL,image_source_url,notes
"Raspberry Pi 4 Model B (4GB)","Compute","Adafruit/PiShop","55.00","USD","2026-05-10","https://www.raspberrypi.com/products/raspberry-pi-4-model-b/","","Stock levels vary"
"Raspberry Pi 5 (4GB)","Compute","Adafruit/PiShop","60.00","USD","2026-05-10","https://www.raspberrypi.com/products/raspberry-pi-5/","","Newer flagship, better performance"
"InnovaMaker IMX296 Global Shutter Camera","Camera","InnovaMaker/AliExpress","60.00","USD","2026-05-10","https://www.inno-maker.com","","Supports hardware trigger"
"AmScope 40X Plan Achromatic Objective (PA40XK)","Optics","AmScope","45.00","USD","2026-05-10","https://amscope.com/","","160mm tube length, RMS thread, spring-loaded"
"AmScope 10X Achromatic Objective","Optics","AmScope","20.00","USD","2026-05-10","https://amscope.com/","","Cheaper baseline option"
"Standard Microscope Slides","Sample holding","Amazon","10.00","USD","2026-05-10","https://www.amazon.com","","Box of 72"
"Multispectral LED Ring (WS2812B or specific wavelengths)","Illumination","Adafruit/Amazon","15.00","USD","2026-05-10","https://www.adafruit.com/","","Need custom PCB for exact 405/470/530/660nm control eventually"
"MGN12H Linear Rail (300mm)","Motion","KB3D/Zyltech","20.00","USD","2026-05-10","https://kb-3d.com/","","Z0 preload recommended for standard use"
"8mm Smooth Rods + LM8UU Bearings","Motion","Amazon","15.00","USD","2026-05-10","https://www.amazon.com","","Cheapest workable option"
"T8 Lead Screw 300mm with Anti-Backlash Nut","Motion","Amazon","15.00","USD","2026-05-10","https://www.amazon.com","",""
"NEMA 17 Stepper Motor","Motion","Pololu/Amazon","14.00","USD","2026-05-10","https://www.pololu.com/","","Standard size, sufficient torque"
"TMC2209 Stepper Motor Driver","Motion","Pololu/Amazon","8.00","USD","2026-05-10","https://www.pololu.com/","","Silent operation, stallguard"
"Stage Micrometer Calibration Slide","Calibration","AmScope","20.00","USD","2026-05-10","https://amscope.com/","","Essential for pixel-to-micron calibration"
